chiSquare info:
至尊 3.43808213551
纳米 3.43808213551
空调 3.43808213551
调养 3.43808213551
概念 3.43808213551
彩妆 3.43808213551
蚕丝 3.43808213551
动感 3.43808213551
高原 3.43808213551
百花 3.43808213551
巴黎 3.43808213551
精华 3.43808213551
北京 3.2012195122
米 3.2012195122
数字 2.99945359906
休闲 2.90655950865
下午茶 2.90655950865
有机 2.90655950865
意大利 2.90655950865
草莓 2.90655950865
美式 2.90655950865
排骨 2.90655950865
公司 2.80714945878
支付 2.80714945878
澳洲 2.80714945878
送礼 2.80714945878
男士 2.80714945878
特色 2.72362717218
soho 2.71349224717
普洱 2.71349224717
银耳 2.71349224717
大雪 2.71349224717
金鱼 2.71349224717
茶杯 2.71349224717
饮茶 2.71349224717
陈年 2.71349224717
大白菜 2.71349224717
枇杷 2.71349224717
橄榄 2.71349224717
佳品 2.71349224717
可可 2.71349224717
企业 2.71349224717
ipod 2.71349224717
nano 2.71349224717
奖券 2.71349224717
箱子 2.71349224717
公布 2.71349224717
中奖 2.71349224717
蓝莓 2.71349224717
滋味 2.71349224717
番茄 2.71349224717
关东 2.71349224717
功夫 2.71349224717
酒家 2.71349224717
飘香 2.71349224717
黄埔 2.71349224717
肉类 2.71349224717
鱼刺 2.71349224717
鱼翅 2.71349224717
醋 2.71349224717
特制 2.71349224717
========unselected=======
芋头 2.71349224717
荞麦 2.71349224717
花生米 2.71349224717
龙虾 2.71349224717
蔬果 2.71349224717
胡椒 2.71349224717
凉菜 2.71349224717
邮费 2.71349224717
内蒙 2.71349224717
黄油 2.71349224717
调料 2.71349224717
扇 2.71349224717
茶树 2.71349224717
大厨 2.71349224717
新世界 2.71349224717
酒水 2.71349224717
江南 2.71349224717
馒头 2.71349224717
咖啡厅 2.71349224717
蓝山 2.71349224717
菜馆 2.71349224717
年夜饭 2.71349224717
外婆 2.71349224717
富贵 2.71349224717
核桃 2.71349224717
叉 2.71349224717
印度 2.71349224717
比萨 2.71349224717
金枪鱼 2.71349224717
橙汁 2.71349224717
羊肉串 2.71349224717
